,descricao_detalhada,marca,departamento_macro,departamento,categoria_familia,tipo_produto,subtipo_funcao,segmento_mercado,publico_ou_tom,grupo_navegacao,apresentacao_publico
248,TONI CAPIL CAPICI SOL A.QUED 100ML,CAPICILIN,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,FINALIZADOR,SILICONE,PREMIUM,FEMININO,,
249,COMPLEXO TRATTA BIOFORTIFICANTE 50ML,TRATTA,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,FINALIZADOR,SILICONE,BASICO,FEMININO,,
250,SPRAY KIDS DESEMBARANTE 300ML,BIO EXTRATUS,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,FINALIZADOR,SILICONE,PREMIUM,FEMININO,,
251,ALIS ESSENZA SOL FORTE 80G 6UN,ESSENZA,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,FINALIZADOR,DEFRIZANTE,BASICO,FEMININO,,
252,OLEO REPARADOR OX NUTRIÇÃO INTENSA,OX,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,FINALIZADOR,OLEO,INTERMEDIARIO,FEMININO,,
253,TRATAMENTO LEAVE-IN DOVE NUTRIÇÃO + TRI-ÓLEOS 110ML,DOVE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,FINALIZADOR,DEFRIZANTE,BASICO,FEMININO,,
254,ÓLEO DE TRATAMENTO CADIVEU PROFESSIONAL AÇAÍ OIL 60ML,CADIVEU,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,FINALIZADOR,OLEO,PREMIUM,FEMININO,,
255,OLEO DE RICINO 30ML,BIOHAIR,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,FINALIZADOR,SILICONE,BASICO,FEMININO,,
256,GELATINA MODELADORA COM ÓLEO DE PEQUI LOLA FROM RIO BOSSA CRESPOS   CACHOS FRASCO 500G PUMP,LOLA,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,FINALIZADOR,GELATINA,INTERMEDIARIO,FEMININO,,
257,SPRAY USO ESSENCIAL RICCA 250ML,RICCA,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,FINALIZADOR,SPRAY,INTERMEDIARIO,FEMININO,,
258,MASCARA FOREVER LISS MEGA MARSALA 500 GR,FOREVER LISS,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,FINALIZADOR,SILICONE,PREMIUM,FEMININO,,
259,ESCOVA GUANIDINA TRADICIONAL REGULAR SL AN 218GR,SALON LINE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,FINALIZADOR,DEFRIZANTE,BASICO,FEMININO,,
260,CRM DISC CACHOS AMEND GOLD BLACK 340ML,AMEND,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,FINALIZADOR,SILICONE,PREMIUM,FEMININO,,
261,ATIVADOR DE CACHOS INOAR MEU CACHO MEU CRUSH 200ML,INOAR,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,FINALIZADOR,DEFRIZANTE,BASICO,FEMININO,,
262,OLEO AMEND NUTRI FABULOUS 90ML,AMEND,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,FINALIZADOR,SILICONE,PREMIUM,FEMININO,,
263,COND LOLA BALSAMO B LOIRA FARMACIA 250G,LOLA,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,FINALIZADOR,SILICONE,PREMIUM,FEMININO,,
264,FINALIZADOR HIDRATEI SOLAR BEACH WAVES SPRAY 200ML,HIDRATEI,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,FINALIZADOR,LEAVE IN,PREMIUM,FEMININO,,
265,LEAVE-IN CAPILAR EUDORA SIÀGE CAUTERIZAÇÃO DOS LISOS 100ML,SIAGE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,FINALIZADOR,LEAVE IN,PREMIUM,FEMININO,,
266,MASCARA TONALIZANTE TRATTA MARROM 290G,TRATTA,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,FINALIZADOR,SILICONE,PREMIUM,FEMININO,,
267,FINALIZOR MONANGE AGENDA CAPILAR RECONSTRUÇÃO 30ML,MONANGE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,FINALIZADOR,OLEO,BASICO,FEMININO,,
268,MASCARA CAPIL OPUS SALON CRM MATIZ 200ML,OPUS,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,FINALIZADOR,SILICONE,PREMIUM,FEMININO,,
269,CRM RELAXANTE ESSENZA 480G,ESSENZA,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,FINALIZADOR,SILICONE,PREMIUM,FEMININO,,
270,SERUM JOHN FRIEDA FRIZZ EASE EXTRA FORTE 50ML,JOHN FRIEDA,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,FINALIZADOR,SILICONE,SUPER PREMIUM,FEMININO,,
271,LEAVE IN CADIVEU BOCA ROSA 215ML,CADIVEU,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,FINALIZADOR,DEFRIZANTE,SUPER PREMIUM,FEMININO,,
272,OLEO DE COPAIBA 30ML,OLEO,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,FINALIZADOR,OLEO,NAO CLASSIFICADO,NAO CLASSIFICADO,,
273,BALSAMO HID BIOGELATTINNE 200ML,BIO EXTRATUS,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,FINALIZADOR,SILICONE,PREMIUM,FEMININO,,
274,OLEO NIELY DIV CACHOS TURBINADO 60ML,NIELY GOLD,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,FINALIZADOR,OLEO,BASICO,FEMININO,,
275,ESC PROGR ALIS EMB PELUC PREMI 180 G KIT,EMBELLEZE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,FINALIZADOR,DEFRIZANTE,BASICO,FEMININO,,
276,MAGIA DE UNICORNIO FOREVER LISS 200ML,FOREVER LISS,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,FINALIZADOR,SILICONE,BASICO,FEMININO,,
277,MASCARA LOLA EU SEI FEZ QUIM PASSAD 230G,LOLA,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,FINALIZADOR,SILICONE,PREMIUM,FEMININO,,
278,MASCARA AMEND REC INT COLOR REFLECT 300G,AMEND,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,FINALIZADOR,SILICONE,PREMIUM,FEMININO,,
279,CREME HIDRATANTE BED HEAD AFTER PARTY SMOOTH 50ML,BED HEAD,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,FINALIZADOR,LEAVE IN,SUPER PREMIUM,FEMININO,,
280,ÓLEO CAPILAR HIDRATEI NUTRIÇÃO 60ML,HIDRATEI,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,FINALIZADOR,OLEO,PREMIUM,FEMININO,,
281,FINALIZADOR MOUSSE WIDI CARE CRIADOR DE CAHOS JUBA 200ML,WIDI CARE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,FINALIZADOR,MOUSSE,PREMIUM,FEMININO,,
282,REPARADOR DE PONTA ORIGEM OLEO DE ARGAN 30ML,ORIGEM,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,FINALIZADOR,SILICONE,BASICO,FEMININO,,
283,REPARADOR DE PONTA WU REFIL 35ML,WU,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,FINALIZADOR,SILICONE,BASICO,FEMININO,,
284,FINALIZADOR BLOND BIOFLEX 200G,BIO EXTRATUS,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,FINALIZADOR,SILICONE,PREMIUM,FEMININO,,
285,ACQUAFLORA COMPLEXO RECONST 60ML,ACQUAFLORA,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,FINALIZADOR,SILICONE,PREMIUM,FEMININO,,
286,REP PONTAS OLEO DE ARGAN 60ML,FIXED,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,FINALIZADOR,SILICONE,PREMIUM,FEMININO,,
287,CREME ALISANTE LISA HAIR 530G,HAIR LIFE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,FINALIZADOR,DEFRIZANTE,BASICO,FEMININO,,
288,FINALIZ BIOEXTRATUS BOTICA CAMOMILA 150G,FINALIZ,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,FINALIZADOR,SILICONE,PREMIUM,FEMININO,,
289,OLEO CAP NATUHAIR ALHO 60ML,NATUHAIR,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,FINALIZADOR,SILICONE,BASICO,FEMININO,,
290,REPARADOR DE PONTA AMORAVEL RECONSTRUÇÃO E FORÇA 35ML,AMORAVEL,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,FINALIZADOR,SILICONE,BASICO,FEMININO,,
291,MASCARA AMEND GOLD BLACK DEF LISS 300G,AMEND,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,FINALIZADOR,SILICONE,PREMIUM,FEMININO,,
292,CRM ALISA E TINGE CAST ESC 135G,ALISA E TINGE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ALISANTE,CREME,NAO DEFINIDO,NAO DEFINIDO,,
293,AMACIHAIR AZEITE DE OLIVA BALDINHO 200G,AMACIHAIR,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ALISANTE,CREME,NAO DEFINIDO,NAO DEFINIDO,,
294,CREME ALISANTE TON WELLIN COLOR GRAN 645,WELLIN,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ALISANTE,CREME,NAO DEFINIDO,NAO DEFINIDO,,
295,CREME ALISANTE SFERA PROFISSIONAL 480G,SFERA,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ALISANTE,CREME,NAO DEFINIDO,NAO DEFINIDO,,
296,CRM ALISA E TINGE PRETO AZULADO 135G,ALISA E TINGE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ALISANTE,CREME,NAO DEFINIDO,NAO DEFINIDO,,
297,CREME ALISANTE HAIRLIFE SOLTO NATURAL 180G,HAIR LIFE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ALISANTE,CREME,NAO DEFINIDO,NAO DEFINIDO,,
298,CREME ALISANTE CARBOLSYSTEINA NOUVELLE 300ML,NOUVELLE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ALISANTE,CREME,NAO DEFINIDO,NAO DEFINIDO,,
299,CRM ALISA E TINGE CAST CLAR 135G,ALISA E TINGE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ALISANTE,CREME,NAO DEFINIDO,NAO DEFINIDO,,
300,KIT ALISANTE ESSENZA GELEIA REAL NO,ESSENZA,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ALISANTE,DEFRIZANTE,BASICO,FEMININO,,
301,CREME ALISANTE SFERA MANTEIGA DE KARITE 80G,SFERA,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ALISANTE,CREME,NAO DEFINIDO,NAO DEFINIDO,,
302,CREME ALISANTE TON WELLIN COLOR PRETO 20,WELLIN,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ALISANTE,CREME,NAO DEFINIDO,NAO DEFINIDO,,
303,CREME ALISANTE NIELY GOLD KIT 184G,NIELY GOLD,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ALISANTE,CREME,NAO DEFINIDO,NAO DEFINIDO,,
304,CREME ALISANTE WELLIN FINO,WELLIN,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ALISANTE,CREME,NAO DEFINIDO,NAO DEFINIDO,,
305,CRM ALISANTE ORIGEM NOW FLORES,ORIGEM,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ALISANTE,DEFRIZANTE,BASICO,FEMININO,,
306,GUANIDINA SALON LINE TRADICIONAL SUPER FORTE ALISA E RELAXA  215G,SALON LINE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ALISANTE,CREME,NAO DEFINIDO,NAO DEFINIDO,,
307,CREME ALISANTE TON WELLIN COLOR CASTANHO CLARO 50,WELLIN,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ALISANTE,CREME,NAO DEFINIDO,NAO DEFINIDO,,
308,CREME ALISANTE WELLIN PARA CABELOS ONDULADOS,WELLIN,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ALISANTE,CREME,NAO DEFINIDO,NAO DEFINIDO,,
309,CRM ALISANTE FIO&PONTAS S BLINDADO 500G,FIO&PONTAS,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ALISANTE,CREME,NAO DEFINIDO,NAO DEFINIDO,,
310,CREME ALISANTE TON WELLIN COLOR CASTANHO ESCURO 30,WELLIN,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ALISANTE,CREME,NAO DEFINIDO,NAO DEFINIDO,,
311,ESCOVA DISCIPLINANTE ALTA MODA LISO PROGRESSIVO SEMI DI LINO,ALFAPARF,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ALISANTE,CREME,NAO DEFINIDO,NAO DEFINIDO,,
312,KIT ALISANTE ORIGEM NOW MEDIO COM ERVAS E CEREAIS 80G,ORIGEM,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ALISANTE,CREME,NAO DEFINIDO,NAO DEFINIDO,,
313,CREME ALISANTE LOLA FROM RIO VINTAGE GIRLS PROFISSIONAL 100G,LOLA,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ALISANTE,CREME,NAO DEFINIDO,NAO DEFINIDO,,
314,CREME ALISANTE WELLIN CRESPO,WELLIN,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ALISANTE,CREME,NAO DEFINIDO,NAO DEFINIDO,,
315,CREME ALISANTE NOUVELLE KIT ECONOMICO 438G,NOUVELLE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ALISANTE,CREME,NAO DEFINIDO,NAO DEFINIDO,,
316,CREME ALISANTE TON WELLIN COLOR CHOCOLATE 67,WELLIN,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ALISANTE,CREME,NAO DEFINIDO,NAO DEFINIDO,,
317,CREME ALISANTE TON WELLIN COLOR LOURO NATURAL 70,WELLIN,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ALISANTE,CREME,NAO DEFINIDO,NAO DEFINIDO,,
318,CREME ALISANTE LYSACREAM MEL 500G,LYSACREAM,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ALISANTE,CREME,NAO DEFINIDO,NAO DEFINIDO,,
319,CREME ALISANTE HENE RENA GEL 180G,HENE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ALISANTE,CREME,NAO DEFINIDO,NAO DEFINIDO,,
320,CRM ALISANTE SFERA NORMAL 480G,SFERA,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ALISANTE,DEFRIZANTE,BASICO,FEMININO,,
321,CRM ALISANTE MEL&AMENDOAS KIT,ORIGEM,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ALISANTE,DEFRIZANTE,BASICO,FEMININO,,
322,TINT MAXTON 3.66 ACAJU PURPURA MINI KIT,MAXTON,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,COLORACAO,PERMANENTE,BASICO,LOURO,,
323,TINTURA COR&TON KIT CASTANHO CLARO 5.0,COR&TON,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,COLORACAO,PERMANENTE,BASICO,CASTANHO,,
324,TINTURA SOFT COLOR LOURO ESCURO 60,SOFT COLOR,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,COLORACAO,SEMIPERMANENTE,BASICO,LOURO,,
325,TINTURA IMÉDIA CHOCOLATE 6.34,IMEDIA EXCELLENCE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,COLORACAO,PERMANENTE,PREMIUM,CASTANHO,,
326,TINTURA MAXTON LOURO NATURAL 7.0,MAXTON,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,COLORACAO,PERMANENTE,BASICO,LOURO,,
327,Coloração Casting Creme Gloss 670 Chocolate com Pimenta,CASTING,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,COLORACAO,SEMIPERMANENTE,PREMIUM,CASTANHO,,
328,TINTURA KOLESTON ACAJÚ PÚRPURA 366,KOLESTON,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,COLORACAO,PERMANENTE,INTERMEDIARIO,VERMELHO,,
329,TINTURA SOFT COLOR LOURO ACINZENTADO 71,SOFT COLOR,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,COLORACAO,SEMIPERMANENTE,BASICO,LOURO,,
330,TINTURA CASTING GLOSS MEL TABACO 634,CASTING,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,COLORACAO,SEMIPERMANENTE,PREMIUM,CASTANHO,,
331,TINTURA IMÉDIA EXCELLENCE LOURO ESCURO ACIN 6.1,IMEDIA EXCELLENCE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,COLORACAO,PERMANENTE,PREMIUM,LOURO,,
332,KIT COM 2 TINTURAS NUTRISSE AMENDOA 50  PREÇO ESPECIAL,NUTRISSE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,COLORACAO,PERMANENTE,INTERMEDIARIO,CASTANHO,,
333,TINT FIO&TON 7.7 MARROM DOURADO,FIO&TON,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,COLORACAO,PERMANENTE,BASICO,LOURO,,
334,TINT COR&TON 6.1 LOURO ESCURO KIT 175G,COR&TON,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,COLORACAO,PERMANENTE,BASICO,LOURO,,
335,TINT ALTA MODA 6.66 VERMELHO INTENSO 60G,ALTA MODA,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,COLORACAO,PERMANENTE,BASICO,LOURO,,
336,TINT COR&TON 4.3 CASTAN MED DOURAD 175G,COR&TON,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,COLORACAO,PERMANENTE,BASICO,LOURO,,
337,TINTURA IMÉDIA EXCELENCE LOURO CLARÍSSIMO ACINZENTADO 10.1,IMEDIA EXCELLENCE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,COLORACAO,PERMANENTE,PREMIUM,LOURO,,
338,TINT LUMINOUS 5.0 CASTANHO CLARO,AROMA DO CAMPO,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,COLORACAO,PERMANENTE,BASICO,LOURO,,
339,TINT CAPICILIN BAN BRI VERME CEREJ 100G,CAPICILIN,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,COLORACAO,SEMIPERMANENTE,BASICO,VERMELHO,,
340,TINTURA BIOCOLOR GEL LOURO MÉDIO 36,BIOCOLOR,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,COLORACAO,PERMANENTE,BASICO,LOURO,,
341,TINT LUMINOUS 12.0 LOURO CLARO NATURAL,AROMA DO CAMPO,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,COLORACAO,PERMANENTE,BASICO,LOURO,,
342,Coloração Nutrisse Creme 61 Café Gelado,NUTRISSE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,COLORACAO,PERMANENTE,INTERMEDIARIO,CASTANHO,,
343,TINTURA OLIA PRETO PROFUNDO 1.0,OLIA,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,COLORACAO,PERMANENTE,BASICO,PRETO,,
344,TINTURA COR&TON MEGA COLORS MARRON INTENSO PROFUNDO 5.777,COR&TON,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,COLORACAO,PERMANENTE,BASICO,CASTANHO,,
345,TINT BIOCOL 6.6 VERME INTEN 2 UN + ESP,BIOCOLOR,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,COLORACAO,PERMANENTE,BASICO,LOURO,,
346,TINT BRILHO&TON 5.0 CASTANHO AMENDOA,BRILHO&TON,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,COLORACAO,PERMANENTE,BASICO,LOURO,,
347,TINTURA KOLESTON PRETO AZULADO 28 GRÁTIS TRATAMENTO GLOSS INTENSO 40ML,KOLESTON,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,COLORACAO,PERMANENTE,INTERMEDIARIO,PRETO,,
348,TINT FIO&TON 8.0 LOURO CLARO MINI KIT,FIO&TON,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,COLORACAO,PERMANENTE,BASICO,LOURO,,
349,TINTA NIELY COR&TON 8.26 MARSALA AÇAÍ,COR&TON,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,COLORACAO,PERMANENTE,BASICO,VERMELHO,,
350,TINTURA KOLESTON RETOQUE RAIZ LOURO COR MEDIO 70,KOLESTON,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,COLORACAO,PERMANENTE,INTERMEDIARIO,LOURO,,
351,TINTURA MAXTON DELÍCIAS MARROM CARAMELO 7.37,MAXTON,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,COLORACAO,PERMANENTE,BASICO,MARROM,,
352,TINT MAXTON 7.1 LOURO CINZA MED MINI KIT,MAXTON,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,COLORACAO,PERMANENTE,BASICO,LOURO,,
353,TINT LUMINOUS 10.1 LOUR CLARISS ACINZE,AROMA DO CAMPO,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,COLORACAO,PERMANENTE,BASICO,LOURO,,
354,TINTURA PREFERENCE LOURO CLARO DOURADO 83,PREFERENCE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,COLORACAO,PERMANENTE,BASICO,LOURO,,
355,"TINTURA IMEDIA EXCELLENCE CASTANHO CLARO DOURADO 5,3 GRATIS CONDICIONADOR",IMEDIA EXCELLENCE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,COLORACAO,PERMANENTE,PREMIUM,CASTANHO,,
356,TINTURA IMÉDIA EXCELENCE LOURO CLARÍSSIMO 10,IMEDIA EXCELLENCE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,COLORACAO,PERMANENTE,PREMIUM,LOURO,,
357,TINTURA COR&TON KIT LOURO ESCURO 6.0,COR&TON,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,COLORACAO,PERMANENTE,BASICO,LOURO,,
358,TINTURA NUTRISSE LOURO MÉDIO 7.0 MINI KIT,NUTRISSE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,COLORACAO,PERMANENTE,INTERMEDIARIO,LOURO,,
359,TINTA SALON LINE LIGHT COLOR PRETO 2.0,SALON LINE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,COLORACAO,PERMANENTE,BASICO,PRETO,,
360,TINTURA FLEURY ACAJU 5.5,FLEURY,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,COLORACAO,SEMIPERMANENTE,BASICO,CASTANHO,,
361,KIT COM 2  TINTURAS IMÉDIA EXCELLENCE LOURO ESCURO 6 COM 40% DE DESCONTO NA SEGUNDA UNIDADE,IMEDIA EXCELLENCE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,COLORACAO,PERMANENTE,PREMIUM,LOURO,,
362,TINT CASTING CREME GLOSS 535 + COND KIT,CASTING CREME GLOSS,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,COLORACAO,PERMANENTE,BASICO,LOURO,,
363,TINTURA IMÉDIA EXCELLENCE EXPRESS CASTANHO PROFUNDO 4.3,IMEDIA EXCELLENCE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,COLORACAO,PERMANENTE,PREMIUM,CASTANHO,,
364,TINT MAXTON 70.47 CHOC COM AVELA,MAXTON,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,COLORACAO,PERMANENTE,BASICO,LOURO,,
365,TINT NUTRISSE 210 CAFE AZULA+ COND GRTS,NUTRISSE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,COLORACAO,PERMANENTE,BASICO,LOURO,,
366,TINTURA COR & TON LOURO PLATINADO 12.11,COR&TON,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,COLORACAO,PERMANENTE,BASICO,LOURO,,
367,TINTURA COR & TON LOURO ESCURO TABACO 6.88,COR&TON,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,COLORACAO,PERMANENTE,BASICO,LOURO,,
368,TINTURA BIOCOLOR SOS RAIZ CASTANHO ESCURO CHIQUE 3.0,BIOCOLOR,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,COLORACAO,PERMANENTE,BASICO,CASTANHO,,
369,TINTURA OLIA LOURO ESCURO DOURADO 6.3,OLIA,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,COLORACAO,PERMANENTE,BASICO,LOURO,,
370,TINTURA SOFT COLOR CAFÉ EXPRESSO 10,SOFT COLOR,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,COLORACAO,SEMIPERMANENTE,BASICO,CASTANHO,,
371,TINTURA IMÉDIA EXCELLENCE PRETO PEROLADO 2.8+,IMEDIA EXCELLENCE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,COLORACAO,PERMANENTE,PREMIUM,PRETO,,
372,CONDICIONADOR PALMOLIVE NATURALS LONGO SEDUTOR 350ML,PALMOLIVE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CONDICIONADOR,TRATAMENTO,BASICO,FEMININO,,
373,CONDICIONADOR GIOVANNA BABY CONCEPT INTENSIVE BLUE 235ML,GIOVANNA BABY,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CONDICIONADOR,TRATAMENTO,INTERMEDIARIO,FEMININO,,
374,COND AMEND REPARADOR 250ML,AMEND,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CONDICIONADOR,TRATAMENTO,SUPER PREMIUM,FEMININO,,
375,CONDICIONADOR EUME POS QUIMICA 250ML,EUME,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CONDICIONADOR,TRATAMENTO,INTERMEDIARIO,FEMININO,,
376,COND CAPICILIN CACHOS HIDRAT 250ML,CAPICILIN,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CONDICIONADOR,TRATAMENTO,SUPER PREMIUM,FEMININO,,
377,Condicionador Anticaspa Head & Shoulders Remoção da Oleosidade 200ml,HEAD & SHOULDERS,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CONDICIONADOR,ANTICASPA,ANTICASPA,FEMININO,,
378,CONDICIONADOR PHYTOERVAS COLÁGENO ELASTINA 250ML,PHYTOERVAS,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CONDICIONADOR,TRATAMENTO,PREMIUM,FEMININO,,
379,COND JOHN FRIEDA FLAWLES STRAIGHT 2,JOHN FRIEDA,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CONDICIONADOR,ANTIQUEDA,INTERMEDIARIO,FEMININO,,
380,COND TRAT CHOQ CAPICILIN VIT AE 40ML X12,CAPICILIN,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CONDICIONADOR,TRATAMENTO,SUPER PREMIUM,FEMININO,,
381,CONDICIONADOR DAUF RESTAURAÇÃO 500ML,DAUF,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CONDICIONADOR,TRATAMENTO,INTERMEDIARIO,FEMININO,,
